Line;id;Name;Title;Rank;Activity;Hero;Game mode;Role.1;Utterance
106;1;sanyi;Player;Top500;Overwatch;Wrecking ball;All;Tank;My team just dies and asked me to swap shield.
107;1;sanyi;Player;Top500;Overwatch;Wrecking ball;All;Tank;What do I do?
108;1;sanyi;Player;Top500;Overwatch;Wrecking ball;All;Tank;And to that my friend, I say skill issue Wrecking Ball is fast enough to do everything I mentioned before someone dies, so just pick up the slack.
109;1;sanyi;Player;Top500;Overwatch;Wrecking ball;All;Tank;But in the event that you do lose someone early, that's where you have to make a judgment call to strike anyways or stay set up and wait for the regroup.
110;1;sanyi;Player;Top500;Overwatch;Wrecking ball;All;Tank;And there you have it, ladies and gentlemen, Wrecking Ball.
111;1;sanyi;Player;Top500;Overwatch;Wrecking ball;All;Tank;In a nutshell, if you enjoyed this video, you can show your thanks by striking that like subscribe and bell icon.
112;1;sanyi;Player;Top500;Overwatch;Wrecking ball;All;Tank;Be sure to comment what you think and if there's any videos you'd like to see me do, let me know in the comments.
113;1;sanyi;Player;Top500;Overwatch;Wrecking ball;All;Tank;And if you want to see me scout set up and strike live, be sure to catch me when I'm live at twitch.tv/edel linking the description.
114;1;sanyi;Player;Top500;Overwatch;Wrecking ball;All;Tank;That's going to be it for this video.
115;1;sanyi;Player;Top500;Overwatch;Wrecking ball;All;Tank;Thank you guys for hanging.
116;1;sanyi;Player;Top500;Overwatch;Wrecking ball;All;Tank;And as always, good luck on the grind.
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
